order_id,product_id,customer_id,quantity_ordered,price_each
1,1,35,4,40.0
2,7,33,2,20.0
3,19,11,2,10.0
4,4,48,1,80.0
5,3,18,2,40.0
6,20,44,4,20.0
7,12,26,3,30.0
8,5,38,2,70.0
9,16,48,3,50.0
10,20,1,4,20.0
11,14,16,3,80.0
12,3,30,3,10.0
13,17,37,1,90.0
14,3,29,3,30.0
15,12,13,3,40.0
16,11,22,3,20.0
17,20,33,4,60.0
18,20,21,2,20.0
19,20,3,1,70.0
20,8,33,3,60.0
21,3,48,2,50.0
22,8,3,2,30.0
23,5,38,3,10.0
24,19,23,1,40.0
25,4,15,1,20.0
26,18,9,3,10.0
27,11,50,2,50.0
28,11,44,4,50.0
29,11,10,3,70.0
30,16,37,3,40.0
31,7,3,2,50.0
32,14,18,1,60.0
33,17,1,3,50.0
34,11,5,2,30.0
35,14,41,1,90.0
36,1,47,3,90.0
37,11,36,3,60.0
38,19,15,1,30.0
39,10,24,2,80.0
40,10,36,2,40.0
41,2,20,2,10.0
42,9,40,1,70.0
43,15,20,3,30.0
44,6,6,2,80.0
45,20,22,1,40.0
46,14,25,3,40.0
47,2,22,1,90.0
48,1,10,1,70.0
49,7,41,1,90.0
50,2,43,1,10.0
51,18,20,2,30.0
52,18,24,3,10.0
53,8,25,4,40.0
54,11,3,2,60.0
55,19,17,1,90.0
56,13,26,1,10.0
57,4,19,3,20.0
58,15,6,4,80.0
59,13,32,2,10.0
60,15,25,4,70.0
61,8,39,3,40.0
62,14,43,3,80.0
63,16,29,3,70.0
64,11,39,1,80.0
65,6,9,2,60.0
66,17,7,3,10.0
67,19,30,1,30.0
68,13,4,1,30.0
69,1,35,2,60.0
70,13,5,3,20.0
71,6,46,1,10.0
72,4,50,1,50.0
73,3,6,4,70.0
74,9,3,4,50.0
75,6,38,4,10.0
76,16,17,2,80.0
77,17,40,1,70.0
78,11,27,4,30.0
79,1,36,4,20.0
80,2,44,4,60.0
81,1,13,4,60.0
82,5,31,3,30.0
83,6,1,3,50.0
84,7,6,3,90.0
85,2,10,2,10.0
86,20,4,2,20.0
87,3,32,2,10.0
88,15,39,2,80.0
89,12,25,3,30.0
90,11,45,4,80.0
91,16,22,4,50.0
92,2,37,2,50.0
93,8,14,2,30.0
94,5,22,3,90.0
95,15,20,3,40.0
96,13,33,3,40.0
97,2,12,4,20.0
98,4,30,4,80.0
99,14,44,3,50.0
100,15,8,3,40.0
101,1,22,1,20.0
102,20,29,3,30.0
103,18,4,2,30.0
104,20,3,3,80.0
105,17,20,4,60.0
106,18,6,4,60.0
107,17,22,1,50.0
108,15,23,4,30.0
109,8,32,2,70.0
110,12,17,2,30.0
111,15,29,2,40.0
112,10,8,3,40.0
113,10,10,3,60.0
114,7,27,4,50.0
115,9,30,4,20.0
